COMPANY	COUNTRY	MARKET
Havas Advertising	France	NMS
HDFC Bank Ltd.	India	NYSE
Head Holding Unternehmensbeteiligung GMBH	Austria	OTC - Debt
Head N.V.	Netherlands	NYSE
Healthcare Technologies Ltd.	Israel	SM CAP
Hellenic Telecommunications Organization S.A. - OTE	Greece	NYSE
Hemosol Inc.	Canada	NMS
Hibernia Foods plc	Ireland	SM CAP
Highway Holdings Ltd.	British Virgin Islands	NMS
Highwood Resources Ltd.	Canada	OTC
Hilan Tech Ltd.	Israel	OTC
Hilton Petroleum Ltd.	Canada	OTC
Hitachi Ltd.	Japan	NYSE
HMV Media Group plc	United Kingdom	OTC - Debt
Hollinger Inc.	Canada	OTC
Honda Motor Co. Ltd.	Japan	NYSE
